uuid,_source,_target,type,name,desc,access_type,influence_strength
CxnDef.1oon_8BbrGr-q-L,id-a2683b0c-962c-11ec-0ac0-0050568b2437,id-a2683afa-962c-11ec-0ac0-0050568b2437,Serving,,,,
CxnDef.-9QJquTmc7I-q-L,id-a2683b0c-962c-11ec-0ac0-0050568b2437,id-a2683b09-962c-11ec-0ac0-0050568b2437,Aggregation,,,,
CxnDef.4SsTYCZ_5Il-q-L,id-db67221a-1640-11ec-4d13-0050568b5c9f,id-db672218-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.cYZxb6i-LY-q-L,id-db67221a-1640-11ec-4d13-0050568b5c9f,id-ec467db0-2b30-11ec-3eca-0050568bdf9a,Realization,,,,
CxnDef.6GeTuVDLEo--q-L,id-db67221a-1640-11ec-4d13-0050568b5c9f,id-db672216-1640-11ec-4d13-0050568b5c9f,Aggregation,,,,
CxnDef.-7wmwvSd_yHU-q-L,id-b5b36743-5f3d-11ec-288d-0050568b5c9f,id-b5b36740-5f3d-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.3QtwHlIKzqP-q-L,id-4f985c33-5f45-11ec-288d-0050568b5c9f,id-4f985c30-5f45-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.15_4HgfDqyk-q-L,id-4f985c30-5f45-11ec-288d-0050568b5c9f,id-8083d215-7db4-11eb-586f-0050568bd295,Aggregation,,,,
CxnDef.-2J_71Wvo_ny-q-L,id-4f985c30-5f45-11ec-288d-0050568b5c9f,id-9886aff4-617e-11ec-19b9-0050568bdf9a,Realization,,,,
CxnDef.-7YXJ_1q1GI8-q-L,id-ed8fba0a-5cdd-11ec-288d-0050568b5c9f,id-9f4ac8a6-5ce4-11ec-288d-0050568b5c9f,Aggregation,,,,
CxnDef.1GsBbJzuXCH-q-L,id-ed8fba0a-5cdd-11ec-288d-0050568b5c9f,id-9886b003-617e-11ec-19b9-0050568bdf9a,Composition,,,,
CxnDef.-1cgCH2EN7Zc-q-L,id-ed8fba0a-5cdd-11ec-288d-0050568b5c9f,id-8083d211-7db4-11eb-586f-0050568bd295,Aggregation,,,,
CxnDef.-7T1Dxaj3zzk-q-L,id-ed8fba0a-5cdd-11ec-288d-0050568b5c9f,id-4f985c18-5f45-11ec-288d-0050568b5c9f,Aggregation,,,,
